ts	phase	decision	why	evidence	result
2026-08-24T22:45:00Z	baseline	Preserved the exact opening versions of every likely task-owned source and test before editing	The checkout contains extensive unrelated dirty work and the visual renderer has a recent regression history	/private/tmp/babel-task10-task11-20260825T004500Z/opening-files.tgz; sha256 17cbfa3351f36563cfe0a2815e7fa4e4ab97d739e192ca150c421cda4920484d	rollback available
2026-08-24T22:45:00Z	scope	Kept L1 Remnant Movement and targeted only Sluicing plus the F4 Remnant Escape construction cards and dedicated RemnantEscape machinery	The recovered user decision distinguishes the valid remnant-movement relation from redundant movement-plus-ellipsis construction wrappers	Babel task 01a0346f-6480-7c80-8b83-285bf8aab1f7; docs/design/visual-relations-current-lab.tsx	complete
2026-08-24T22:45:00Z	defect	Classified the missing Replay label as visible clipping rather than missing authored data	The screenshot clips after Judgment while live DOM contains Label extraction below the visible panel	components/TreeVisualizer.tsx:9200; user screenshot codex-clipboard-aad9070e-16d8-4bf9-bdf7-92efffabcf09.png	confirmed
2026-08-25T01:30:00Z	public-surface	Archived F2 Sluicing and F4/F4b pseudogapping/gapping construction cards while retaining their source fixtures	They are compositions of ordinary movement plus Ellipsis rather than independent public relation designs	docs/design/visual-relations-current-lab.tsx; tests/visualRelationsLabAdapter.test.mjs	55 canonical public cards; research fixtures retained
2026-08-25T01:30:00Z	renderer	Removed the dedicated RemnantEscape registry, render-family, compiler, and persistence machinery	No dedicated ink remained after the construction cards were recomposed from AMove/AbarMove plus Ellipsis	replay/relationDispatch/productionRegistry.js; replay/relations/renderPlanCompiler.ts; replay/replayCompiler.ts	canonical production identities reduced to 60 without removing L1 RemnantMovement
2026-08-25T01:30:00Z	task10	Built the 70-pair Tier-1/Tier-2 review surface with production CSS and fixed-origin captures	This supplies compact provider-free coverage and contact sheets for subjective inspection	scripts/verifyTier2VisualReview.mjs; .artifacts/tier2-task10-visual-review/	initial wrapper-level pass; raster proof hardened at 02:30 below
2026-08-25T01:30:00Z	defect	Stacked measured feature plaques now share the binder's deterministic collision placement	The renderer previously recomputed each measured plaque origin and could overpaint two persistent Tier-2 claims at one anchor	replay/relations/overlayGeometry.ts; replay/relations/geometryBinding.ts; components/TreeVisualizer.tsx; .artifacts/tier2-task10-visual-review/stacking-persistence.png	fixed and provider-free regression tested
2026-08-25T01:30:00Z	task11	Added 86 exact reviewed aliases across 59 canonical Tier-1 identities	Established full names and punctuation variants improve curated-design recognition without fuzzy matching or construction aliases	replay/relationDispatch/tier1Aliases.js; tests/tier1Aliases.test.mjs	focused dispatch gate passed; Fable pre-review removed broad Phrasal Movement alias
2026-08-25T01:45:00Z	verification	Closed the Tier-2 implementation-draft status after both required gates passed	Completion required the full offline suite plus final production-styled primitive and stacking review	npm run verify:all; npm run tier2:review:verify; .artifacts/tier2-task10-visual-review/report.json	1010 tests and parse contracts passed; initial 70-pair visual gate passed
2026-08-25T02:00:00Z	defect	Removed the blank hidden-timeline row from the fixed-height Orchard Replay panel and isolated detail scrolling	Live browser proof showed Label extraction existed but began below the 142px panel fold	docs/design/babel-visual-relations-research.production-only-audit.html; components/TreeVisualizer.tsx; tests/treeVisualizerReplayDomState.test.mjs	verdict label should be visible by default while longer detail blocks remain scrollable
2026-08-25T02:05:00Z	defect	Suppressed the detail-summary copy when the same operation already has a Replay header label	The compact panel repeated Illicit Analysis above the canonical relation detail and displaced its authored verdict label	components/TreeVisualizer.tsx; tests/treeVisualizerReplayDomState.test.mjs	one general duplicate removed; authored relation details preserved
2026-08-25T02:10:00Z	review	Fable found no defects in completed alias, retirement, and public-card inspection	Broad Phrasal Movement alias was removed; normalized alias-versus-canonical collisions already fail registry construction	.artifacts/tier2-task10-task11-fable-review.md	remaining renderer and proof scope assigned to Ox Alpha
2026-08-25T02:20:00Z	review	Ox Alpha review attempted twice in the existing Babel OpenCode session	Both attempts failed upstream after beginning read-only inspection	.artifacts/tier2-task10-task11-ox-review.md	no Ox verdict; endpoint unavailable; no further retry
2026-08-25T02:30:00Z	qa	Narrowed raster comparison to primitive SVG or canvas ink and reject same-size blank captures	Whole specimen wrappers could remain nonblank when both primitive drawings were absent	scripts/verifyTier2VisualReview.mjs	70/70 identical; 70/70 nonblank; zero console or HTTP problems; stacking non-overlap passed
2026-08-25T02:40:00Z	verification	Final repository gate passed after review corrections	Task-owned code remains compatible with the complete provider-free repository surface	npm run verify:all	typecheck; 1011/1011 tests; two parse-contract fixtures
2026-08-25T02:45:00Z	static-bundle	Rebuilt the immutable production Orchard after the Fable alias correction	Served r87 otherwise retained the removed broad alias even though source was correct	docs/design/visual-relations-current-lab.production-only-audit.r88.bundle.js; docs/design/babel-visual-relations-research.production-only-audit.html	audit page points to r88 / verification token r162
2026-08-25T02:46:00Z	live-proof	Verified the rebuilt r162 Orchard in the in-app browser	The served immutable bundle must match source and preserve the exact user-visible fix	production Orchard frame 37/38	Label and Value extraction visible at scrollTop 0; Sluicing, Remnant Escape, and Ellipsis Licensing cards absent; L1 Remnant Movement present
2026-08-25T02:47:00Z	cleanup	Confirmed no Claude, OpenCode CLI, Playwright, test, or TypeScript workers remain	The user explicitly required CPU-safe cleanup after unattended work	ps process audit	only the requested localhost static server remains at 0.0 percent CPU
2026-08-25T09:21:29Z	alias-decision	Restored exact Phrasal Movement as an AbarMove alias after final product review	Phrasal Movement names the curated shell-targeting relation, while bare Movement remains too broad and unknown	replay/relationDispatch/tier1Aliases.js; tests/tier1Aliases.test.mjs	deliberate reversal recorded; exact normalization retained
